किसकी,,किसकी,
संविधान,,संविधान,
अर,,अर,
कटुतारहित,,कटुता,रहित
चाटता,,चाटता,
रूचिकर,,रूचि,कर
हिचक,,हिचक,
फ़ेल्ट,,फ़ेल्ट,
एम,,एम,
हाज़िरी,,हाज़िर,ी
पाउडर,,पाउडर,
धतूरा,,धतूरा,
असत्यता,अ,सत्य,ता
बटोर,,बटोर,
सखियों,,सखि,यों
मणिका,,मणिका,
परतदार,,परत,दार
दुबकने,,दुबक,ने
भविष्यत्,,भविष्यत,्
ड़ाली,,ड़ाल,ी
लंगोट,,लंगोट,
सततप्रयास,सतत,प्रयास,
पशुवत,,पशु,वत
फ्लौपी,,फ्लौपी,
हेल्‍मेट,,हेल्‍मेट,
विकेट,,विकेट,
फ़्रैंक,,फ़्रैंक,
मिन्नत,,मिन्नत,
चीखना,,चीख,ना
गलत,,गलत,
घुसपैठ,,घुसपैठ,
बालक,,बालक,
अछेदित,अ,छेदित,
आटा,,आटा,
रूह,,रूह,
समर्पण,,समर्पण,
फूंकी,,फूंक,ी
निकलते,,निकल,ते
मनीषी,,मनीष,ी
बागा,,बाग,ा
महामूर्ख,महा,मूर्ख,
अधिक्रमण,अधि,क्रमण,
असंरक्षित,अ,संरक्षित,
अप्रभाव्य,अ,प्रभाव्य,
नौजवान,,नौजवान,
सदृशता,,सदृश,ता
सुविधाओं,,सुविधा,ओं
कढ़ाई,,कढ़ा,ई
स्वयंपोषी,,स्वयंपोष,ी
प्रयोजनमूलक,,प्रयोजन,मूलक
कारटून,,कारटून,
अधिकाधिक,,अधिक,ाधिक
स्तोत्र,,स्तोत्र,
उड़ता,,उड़,ता
थुलथुलापन,,थुलथुला,पन
कामनाओं,,कामना,ओं
मनगढ़ंत,,मनगढ़ंत,
एकसारकृत,,एकसार,कृत
तेवर,,तेवर,
पेरु,,पेरु,
चमकीला,,चमक,ीला
वर्णित,,वर्ण,ित
प्रद,,प्रद,
पोदीने,,पोदीने,
लाखा,,लाख,ा
सोंचता,,सोंच,ता
कलरव,,कलरव,
शिराचित्र,,शिराचित्र,
वार्धक्य,,वार्धक्य,
अपाकर्षी,अप,ाकर्षी,
अपावर्तन,अप,ावर्तन,
अकृतज्ञता,अ,कृतज्ञ,ता
अर्ल,,अर्ल,
जीरा,,जीरा,
पेन्शनभोगी,,पेन्शनभोगी,
संकरक,,संकरक,
विधिहीन,,विधि,हीन
सर्पिल,,सर्प,िल
दर्ज़ी,,दर्ज़ी,
ऋअण,,ऋअण,
देवात्मा,,देवात्मा,
अर्थपिशाच,अर्थ,पिशाच,
भतीजी,,भतीजी,
गवाहों,,गवाह,ों
संगडक,,संगडक,
ज़रूरी,,ज़रूर,ी
गर्तों,,गर्त,ों
मध्यमार्ग,मध्य,मार्ग,
कारवाइ,,कारवा,इ
अहमदाबाद,,अहमदाबाद,
काहे,,काहे,
जीवनलोक,,जीवनलोक,
हमेसा,,हमेसा,
कोलंबस,,कोलंबस,
बिगाड़ने,,बिगाड़,ने
पूर्वसन्ध्या,पूर्व,सन्ध्या,
चीर,,चीर,
सर्वदा,,सर्वदा,
वायरमैन,,वायरमैन,
बाड़ा,,बाड़,ा
बिस्तर,,बिस्तर,
अप्रलेखित,,अप्रलेखित,
पथहीन,,पथ,हीन
लकीरों,,लकीर,ों
अनिषेधित,अ,निषेधित,
अनुकुल,अनु,कुल,
चंचलता,,चंचल,ता
अनुतान,अनु,तान,
सोनहले,,सोनहले,
टोकरी,,टोकरी,
एकसूत्र,,एकसूत्र,
हुकुमत,,हुकुमत,
झाड़ियों,,झाड़ि,यों
धर्मदूत,,धर्मदूत,
अंतःशास्त्रीय,अंतः,शास्त्र,ीय
मुर्झा,,मुर्झा,
रेंजर,,रेंजर,
संवेगी,,संवेग,ी
चुनचुनी,,चुनचुन,ी
मुँहासा,,मुँहासा,
बकवासी,,बकवास,ी
टनों,,टन,ों
अलाभकारी,अ,लाभ,कारी
दिखती,,दिख,ती
रँगरुट,,रँगरुट,
तथ्यपूर्ण,,तथ्य,पूर्ण
शुध्द,,शुध्द,
स्वर्गारोहण,,स्वर्गारोहण,
तस्वीरे,,तस्वीर,े
समापिका,,समापिका,
बग्घी,,बग्घी,
मुफ्तखोरी,,मुफ्त,खोरी
निथारना,,निथार,ना
क्लैरेट,,क्लैरेट,
रूपवाद,,रूप,वाद
विछोह,,विछोह,
औजारों,,औजार,ों
बील,,बील,
तत्वसम्बन्धी,,तत्वसम्बन्ध,ी
प्रतिलिप्यधिकार,प्रति,लिप्यधिकार,
पढ़ा,,पढ़,ा
सुनाता,,सुना,ता
देशभक्‍तिपूर्ण,,देशभक्‍ति,पूर्ण
अनुपाती,अनु,पात,ी
बजरीदार,,बजरी,दार
उट्ना,,उट्ना,
जनकों,,जनक,ों
ओहद,,ओहद,
डराएंगी,,डरा,एंगी
स्वीकृति,,स्वीकृत,ि
गहरी,,गहरी,
सहेली,,सहेली,
अघोरी,,अघोर,ी
विद्रोही,वि,द्रोह,ी
नवाज,,नवाज,
मापने,,मापन,े
निरीहता,,निरीह,ता
बांह,,बांह,
आषाढ़,,आषाढ़,
भेडिए,,भेडिए,
सुचित,,सुचित,
मुठ्ठीभर,,मुठ्ठी,भर
प्रतिरोधात्मक,प्रति,रोधात्मक,
धोखा,,धोखा,
फ़र्श,,फ़र्श,
छुरियां,,छुरि,यां
पौरी,,पौर,ी
रोग,,रोग,
कर्मचार,,कर्म,चार
उपजाई,,उपज,ाई
शक्ति,,शक्ति,
भेदी,,भेद,ी
फव्वारा,,फव्वारा,
तुनकमिजाज़,तुनक,मिजाज़,
क्षीर,,क्षीर,
मुख्तारी,,मुख्तार,ी
ज़ारगौज़ा,,ज़ारगौज़ा,
त्रि,,त्रि,
अक्षय,अ,क्षय,
प्रतिष्ठान,,प्रतिष्ठान,
महंत,,महंत,
लौटेंगे,,लौट,ेंगे
डिज़ाइन,,डिज़ाइन,
उत्पत्तिमूलक,,उत्पत्ति,मूलक
भड़कैल,,भड़क,ैल
फासले,,फासले,
अनिद्रापीडित,अ,निद्रा,पीडित
गोलकों,,गोलक,ों
सूंघना,,सूंघना,
झुंझला,,झुंझल,ा
दशमांश,,दशम,ांश
ग्लकोमा,,ग्लकोमा,
कोतवाली,,कोतवाली,
हँसे,,हँस,े
रहस्‍यमय,,रहस्‍य,मय
कामयाबी,,कामयाब,ी
सूचनाए,,सूचना,ए
दूभर,दू,भर,
लेप,,लेप,
अंकित,,अंक,ित
संयत,,संयत,
गतिवाली,,गति,वाली
अन्दाज़,,अन्दाज़,
खेमा,,खेमा,
भुर्ता,,भुर्ता,
निर्बुद्धियों,निर्,बुद्धि,यों
गजराज,,गज,राज
अनुवर्ती,,अनुवर्त,ी
यंत्रविन्यास,,यंत्रविन्यास,
राजगद्दी,,राजगद्दी,
बूझना,,बूझ,ना
ढूंढ़ना,,ढूंढ़,ना
दक्षि,,दक्ष,ि
सुधारने,,सुधार,ने
साहित्य,,साहित्य,
छात्रों,,छात्र,ों
कलाएँ,,कला,एँ
सकारात्मक,,सकारात्मक,
संस्‍मरण,सं,स्‍मरण,
जुबाँ,,जुबाँ,
उठवा,,उठवा,
सार्वभौमवादी,सार्व,भौमवादी,
चटनी,,चटनी,
गिरवी,,गिरवी,
तिम्नत्सेरह,,तिम्नत्सेरह,
फेंककर,,फेंक,कर
दंगई,,दंग,ई
सहयोगपूर्ण,सह,योग,पूर्ण
डेम,,डेम,
मेषपालीय,,मेषपाल,ीय
अनेकवृत्तिभोगी,,अनेकवृत्तिभोगी,
विश्वविद्यालयों,,विश्वविद्यालय,ों
ऐडिनोमायोसर्कोमा,,ऐडिनोमायोसर्कोमा,
उजाड़कर,,उजाड़,कर
कलन,,कलन,
रगबी,,रगबी,
तरबतर,,तरबतर,
बुझाएगा,,बुझा,एगा
प्रशासनी,,प्रशासन,ी
नेमिसहित,,नेमि,सहित
व्यंअजक,,व्यंअजक,
मौला,,मौल,ा
मोटररहित,,मोटर,रहित
हौर्स,,हौर्स,
तद्दी,,तद्दी,
रूक,,रूक,
नामचीन,,नामचीन,
रखूँ,,रख,ूँ
नलदुर्ग,,नलदुर्ग,
सलमोना,,सलमोना,
तिनकों,,तिनकों,
आन्ंदकर,,आन्ंद,कर
ढक,,ढक,
स्नातकपदवी,,स्नातकपद,वी
परिध्,,परिध्,
काटों,,काटों,
जमाखोरी,,जमाखोर,ी
नवें,,नव,ें
बिछुड़,,बिछुड़,
राजीव,,राजीव,
शेल,,शेल,
असामंजस्य,अ,सामंजस्य,
यादव,,यादव,
विकल्पकी,,विकल्प,की
उपसंवर्ध,उप,संवर्ध,
विषाणुसंस्था,,विषाणुसंस्था,
कनाखूनों,,कनाखूनों,
रोगलीमवासी,,रोगलीमवासी,
मेज़ों,,मेज़,ों
मुर्ख,,मुर्ख,
लखपति,,लखपति,
धाँधली,,धाँधली,
आलम्ब,आ,लम्ब,
फोरहैण्ड,,फोरहैण्ड,
अतिघृणा,अति,घृणा,
पवित्रस्थान,,पवित्रस्थान,
समाजोपयोगी,,समाजोपयोगी,
युद्द,,युद्द,
संगीतनाट्य,,संगीतनाट्य,
उपदंश,उप,दंश,
व्यभिचारिणियों,,व्यभिचारिणि,यों
व्यापारिक,,व्यापार,िक
बांटना,,बांट,ना
हस्त,,हस्त,
खट्टी,,खट्टी,
पथरचिरटा,,पथरचिरटा,
जयजयकार,,जयजय,कार
अर्ध,,अर्ध,
हेलमेट,,हेलमेट,
वेश्यायों,,वेश्या,यों
कण्ठ्य,,कण्ठ्य,
साइबरस्पेस,,साइबरस्पेस,
निर्माण,,निर्माण,
पकाया,,पका,या
ज्योत्स्ना,,ज्योत्स्ना,
गेरुई,,गेरु,ई
भभूत,,भभूत,
गोयनका,,गोयनका,
लूटी,,लूट,ी
शालबोनी,,शालबोनी,
उखाड़ना,,उखाड़,ना
वर्णक्रम्युक्त,,वर्णक्रम्युक्त,
गणित,,गण,ित
नस्नेहा,,नस्नेहा,
कहवाखाना,,कहवा,खाना
कप्तान,,कप्तान,
चिंचरिंची,,चिंचरिंची,
कुपी,,कुपी,
जालपोत,,जालपोत,
सहानुभूतिपूर्वक,सह,ानुभूति,पूर्वक
हल्ले,,हल्ले,
विलंब,वि,लंब,
पहाड़ो,,पहाड़,ो
कागज,,कागज,
थ्री,,थ्री,
तत्पर,,तत्पर,
पले,,पल,े
उदारता,,उदार,ता
मोड़ा,,मोड़,ा
कर्णकटु,,कर्णकटु,
पकड़,,पकड़,
प्रतिपाद्य,प्रति,पाद्य,
बँसखट,,बँसखट,
बहुपक्षीय,,बहुपक्ष,ीय
गौण,,गौण,
प्रस्तुतकर्ता,,प्रस्तुत,कर्ता
टुंड़ों,,टुंड़,ों
शहरी,,शहर,ी
पचहत्तर,,पचहत्तर,
कामी,,कामी,
तर,,तर,
धूएं,,धूएं,
प्रतिसाम्य,प्रति,साम्य,
रणों,,रण,ों
बंध,,बंध,
साथा,,साथ,ा
मृगवन,,मृगवन,
पेटभर,,पेट,भर
ताबेल,,ताबेल,
चालीस,,चालीस,
राजदणडों,,राजदणड,ों
सम्बन्घी,,सम्बन्घ,ी
अंकरी,,अंकरी,
जीवनदायक,,जीवन,दायक
पुरातत्व,पुरा,तत्व,
कुप्पे,,कुप्प,े
ध्रष्टता,,ध्रष्ट,ता
शीट,,शीट,
प्लवक,,प्लवक,
शेशक,,शेशक,
शापीर,,शापीर,
सुनन,,सुनन,
काफ़िला,,काफ़िला,
सदय,,सदय,
मेजों,,मेज,ों
मगदलीनी,,मगदलीनी,
निर्भर,,निर्भर,
परिप्रेक्ष्य,परि,प्रेक्ष्य,
पौधनाशक,,पौधनाशक,
काढ़ा,,काढ़ा,
दंडवत,,दंडवत,
गादी,,गादी,
अपज,,अपज,
जनसंचार,,जनसंचार,
चिरोंजी,,चिरोंजी,
ज़ैंथलिन,,ज़ैंथलिन,
कट्टरपन,,कट्टर,पन
मांसवर्ण,,मांसवर्ण,
जिमीकंद,,जिमीकंद,
बेगारों,,बेगार,ों
पाड़,,पाड़,
चुम्मा,,चुम्मा,
बरछा,,बरछा,
अस्सीवें,,अस्सी,वें
धारक,,धारक,
झाडियों,,झाडि,यों
प्रेमहीन,,प्रेम,हीन
स्प्रैडशीट,,स्प्रैडशीट,
अचालक,अ,चालक,
प्लाई,,प्लाई,
भेंटें,,भेंट,ें
अवनद्ध,अव,नद्ध,
अंतःक्षेपण,अंतः,क्षेपण,
एथीन,,एथीन,
भ्ंअडार,,भ्ंअडार,
तरंगवत,,तरंग,वत
दर्दनाक,,दर्द,नाक
तंगदिल,,तंगदिल,
वंशानुगत,,वंशानुगत,
हथकडिय़ां,,हथकडि,य़ां
जनसेवक,,जनसेवक,
आयुर्वेद,,आयुर्वेद,
लड़कियां,,लड़कि,यां
ब्रांट,,ब्रांट,
यादाश्त,,यादाश्त,
मिशाल,,मिशाल,
तृषित,,तृषित,
लम्बाकार,,लम्बाकार,
सुर्ख़ियों,,सुर्ख़ि,यों
इतनी,,इतनी,
सहज,,सहज,
राणा,,राणा,
कार्यान्वन,,कार्यान्वन,
डिम्बवाही,,डिम्बवाही,
कब्बोन,,कब्बोन,
लाभांश,,लाभ,ांश
उत्साहपूर्ण,,उत्साह,पूर्ण
भौमिकी,,भौमिक,ी
परिव्यापक,परि,व्यापक,
खंभ्,,खंभ्,
वास्तविकता,,वास्तविक,ता
अड्,,अड्,
अवरुध्द,अव,रुध्द,
समाकर,,समा,कर
अरारी,,अरारी,
खोल,,खोल,
वनस्पतिशास्त्र,,वनस्पतिशास्त्र,
निर्णयहीन,,निर्णय,हीन
बारहों,,बारह,ों
आबसयकता,,आबसयक,ता
विवेचनात्मक,,विवेचनात्मक,
सारी,,सारी,
समझौताकार,,समझौता,कार
मध्यकर्ण,,मध्यकर्ण,
इंदौर,,इंदौर,
जाँचना,,जाँच,ना
अस्थिचिकित्सक,,अस्थिचिकित्सक,
बंदगाड़ी,,बंदगाड़ी,
स्थगित,,स्थगित,
बर्फीला,,बर्फ,ीला
पेड़ल,,पेड़ल,
पंथशाला,,पंथशाला,
बुझाना,,बुझा,ना
तेजी,,तेज,ी
टेलीकम्स,,टेलीकम्स,
फ़िल्म,,फ़िल्म,
गलाने,,गला,ने
अजवायन,,अजवायन,
गोपनीयता,,गोपनीय,ता
उछाल्,,उछाल्,
सुविधाएँ,,सुविधा,एँ
पाण्डित्य,,पाण्डित्य,
बसने,,बसने,
क्लीयर,,क्लीयर,
चिंतामुक्त,,चिंतामुक्त,
झुर्री,,झुर्री,
निरीक्षक,,निरीक्षक,
अक्षिसंकोच,,अक्षिसंकोच,
झींगा,,झींगा,
जिव्हा,,जिव्हा,
जनवादी,,जनवाद,ी
सपेरा,,सपेरा,
तलाशअना,,तलाशअ,ना
रईसपन,,रईस,पन
घुलना,,घुल,ना
दंगे,,दंगे,
अवकलन,,अवकलन,
कुबड़ी,,कुबड़,ी
कहीं,,कहीं,
ट्रैक्शन,,ट्रैक्शन,
भारीभरकम,,भारीभरकम,
कारनिस,,कारनिस,
धनुस्तंभ,,धनुस्तंभ,
फार्म,,फार्म,
अर्यात्‌,,अर्यात्‌,
झगड़ालूपन,,झगड़ालू,पन
अवाह्य,,अवाह्य,
जिन्दा,,जिन्दा,
मीठ,,मीठ,
शिष्टेतर,,शिष्टेतर,
दाखलता,,दाखल,ता
अगुरु,,अगुरु,
ज्योनार,,ज्योनार,
निपटारा,,निपटा,रा
ढँकना,,ढँक,ना
पलेतियों,,पलेति,यों
पनपना,,पनप,ना
परिरक्षण,परि,रक्षण,
फिरके,,फिरके,
क्त,,क्त,
अनियमित,अ,नियमित,
स्प्रैड,,स्प्रैड,
हिद्दै,,हिद्दै,
अभयारण्य,,अभयारण्य,
किरकिरा,,किरकिर,ा
निकलतीं,,निकल,तीं
चढ़ाकर,,चढ़ा,कर
विरोधों,,विरोध,ों
लटकना,,लटक,ना
करारनामे,,करारनामे,
रिकार्डर,,रिकार्डर,
ईट,,ईट,
अवपरमाणवीय,अव,परमाणवीय,
कृपोपहार,,कृपोपहार,
भविष्यवादी,,भविष्य,वादी
निष्कलुष,,निष्कलुष,
पंचम,,पंचम,
विकन,,विकन,
टिंचर,,टिंचर,
हारमोनियम,,हारमोनियम,
भोजनवस्तु,,भोजनवस्तु,
पहेलीनुमा,,पहेली,नुमा
खलीफा,,खलीफा,
सम्भला,,सम्भल,ा
नाविक,,नाविक,
योर्काम,,योर्काम,
छानना,,छानना,
अनुत्तेजन,,अनुत्तेजन,
प्रकार्य,प्र,कार्य,
संकुलन,,संकुलन,
अंतःप्रकीर्ण,अंतः,प्रकीर्ण,
अदमित,,अदमित,
अस्त्रीएल,,अस्त्रीएल,
रबड़,,रबड़,
झेलने,,झेल,ने
रेलपथ,,रेलपथ,
छप्परबंदी,,छप्परबंदी,
सौरेल,,सौरेल,
अहवा,,अहवा,
वेब्स्टर,,वेब्स्टर,
यिन,,यिन,
नथुना,,नथुना,
लिपिबध,,लिपिबध,
सुविधजनक,,सुविधजनक,
ताराशंकर,,ताराशंकर,
पायी,,पायी,
विलिस,,विलिस,
सीढियां,,सीढि,यां
अनशन,,अनशन,
असहायों,अ,सहाय,ों
प्रतिपालन,प्रति,पालन,
चिडिय़ों,,चिडि,य़ों
गेंडा,,गेंडा,
धकधकी,,धकधक,ी
मुफ़लिसी,,मुफ़लिस,ी
जननेन्द्रिय,,जननेन्द्रिय,
अकड,,अकड,
रिपोर्ट,,रिपोर्ट,
निभाया,,निभा,या
विस्तृत,,विस्तृत,
जुराबों,,जुराब,ों
अमुण्डित,अ,मुण्डित,
शेम,,शेम,
अग्रगामी,अग्र,गामी,
पके,,पक,े
धोइये,,धोइये,
बाग,,बाग,
टलेगा,,टलेगा,
बल्‍कि,,बल्‍कि,
चहचहाना,,चहचहाना,
असित,,असित,
तलसभ्यता,,तलसभ्यता,
अवज्ञापूर्वक,,अवज्ञा,पूर्वक
रशियावासी,,रशिया,वासी
कम्ना,,कम्ना,
बिगड़ी,,बिगड़,ी
वर्णहीनता,,वर्णहीन,ता
ज्वालामय,,ज्वाला,मय
इश,,इश,
अराजकता,अ,राजकता,
जोशी,,जोश,ी
प्रगलक,,प्रगलक,
सत्यनिष्ठा,,सत्यनिष्ठ,ा
जुड़वा,,जुड़वा,
भेरी,,भेरी,
मुड़कर,,मुड़,कर
जनजागृति,,जनजागृति,
द्वारमण्डप,,द्वारमण्डप,
पहिलौठों,,पहिलौठ,ों
वाह्,,वाह्,
प्लीह,,प्लीह,
आलस्य,,आलस्य,
रड़र,,रड़र,
ग्रीष्मकाल,,ग्रीष्मकाल,
ज़ंग,,ज़ंग,
उत्साहभंग,,उत्साह,भंग
अौर,,अौर,
प्रदेशवासी,,प्रदेश,वासी
कूचों,,कूच,ों
ज्वलन,,ज्वलन,
अंतःप्रवाह,अंतः,प्रवाह,
अधिकाष,,अधिकाष,
भड़कना,,भड़क,ना
पुण्यात्मा,,पुण्यात्मा,
बटरफ्लाय,,बटरफ्लाय,
बरसात,,बरसात,
कामुकतापूर्ण,,कामुकता,पूर्ण
इत्तिफ़ाक़,,इत्तिफ़ाक़,
अनुताप,अनु,ताप,
जला,,जला,
अंकगत,,अंकगत,
हू,,हू,
प्यारहीन,,प्यार,हीन
पैन्ट,,पैन्ट,
कुव्यवस्था,कु,व्यवस्था,
लीजिए,,लीजिए,
मनुष्यत्व,,मनुष्य,त्व
उछाले,,उछाल,े
पन्थीय,,पन्थ,ीय
कारन,,कारन,
मित्का,,मित्का,
ज़्यदा,,ज़्यदा,
वैज,,वैज,
विवाद,,विवाद,
ध्वनिकता,,ध्वनिक,ता
निषेधाज्ञा,,निषेधाज्ञा,
दलान,,दलान,
वर्मीक्यूलाइट,,वर्मीक्यूलाइट,
क्रियायें,,क्रिया,यें
छिड़काव,,छिड़काव,
विषैली,,विष,ैली
मुँहतोड,,मुँहतोड,
बल्सा,,बल्सा,
स्पष्टता,,स्पष्ट,ता
ज्ञानार्जन,,ज्ञानार्जन,
भोगवाद,,भोग,वाद
अंकुर,,अंकुर,
उपवासी,,उपवास,ी
प्रीतम,,प्रीतम,
लोकतंट्र,,लोकतंट्र,
बावात्मक,,बावात्मक,
माँगती,,माँग,ती
जनसूची,,जनसूची,
व्यावहारिक,,व्यावहार,िक
देशभक्ति,,देशभक्ति,
असाहसी,अ,साहसी,
प्रतिकर्षित,प्रति,कर्षित,
छठीं,,छठीं,
भूख,,भूख,
बुढिया,,बुढिया,
पशुचारी,,पशु,चारी
आलेपित,,आलेपित,
अलक्ष्य,अ,लक्ष्य,
लुस्त्रा,,लुस्त्रा,
कंप्रेस,,कंप्रेस,
ज्योतिषशास्त्र,,ज्योतिषशास्त्र,
क्लोरोफार्म,,क्लोरोफार्म,
चित्रलेख,,चित्रलेख,
चतुर्वेद,,चतुर्वेद,
बैक,,बैक,
अन्योन्याश्रित,,अन्योन्याश्रित,
सीखना,,सीख,ना
फंसाएं,,फंसा,एं
परमात्मा,,परमात्मा,
या,,या,
वाष्पित,,वाष्प,ित
पीतांधता,,पीतांधता,
अप्रयुक्त,अ,प्रयुक्त,
प्रतिज्ञाभंग,,प्रतिज्ञा,भंग
फाड़ते,,फाड़,ते
तन्मयता,,तन्मय,ता
डूरसन्च्हार,,डूरसन्च्हार,
एक्स्चेन्ज,,एक्स्चेन्ज,
प्राजक्ता,,प्राजक्ता,
दिक्सूचक,,दिक्सूचक,
ईश्वरत्व,,ईश्वर,त्व
युद्धग्रस्त,,युद्ध,ग्रस्त
अहम,,अहम,
गणिका,,गणिका,
गुन्डा,,गुन्डा,
तीव्रता,,तीव्र,ता
तैरने,,तैरने,
भारतीयता,,भारतीय,ता
अवशोषकता,अव,शोषक,ता
घुसता,,घुस,ता
रूपात्मक,,रूपात्मक,
समादेशक,सम,ादेशक,
चंड,,चंड,
लंगोचा,,लंगोच,ा
पहियो,,पहियो,
पिरातोनवासी,,पिरातोन,वासी
वजनदार,,वजन,दार
ग्लाइसिरिज़ा,,ग्लाइसिरिज़ा,
बहुविकल्पी,बहु,विकल्प,ी
निवासाधिकार,,निवासाधिकार,
कुम्हार,,कुम्हार,
अभिवन्दनीय,अभि,वन्दन,ीय
हठीला,,हठ,ीला
कीलें,,कील,ें
उम्तम,,उम्तम,
काँपते,,काँपते,
कंठशोथ,,कंठशोथ,
दरबानों,,दरबान,ों
ननिहाल,,ननिहाल,
बंटवारा,,बंटवारा,
ऊबानेवाला,,ऊबाने,वाला
उण्डुपुच्छ,,उण्डुपुच्छ,
जूती,,जूती,
ह्थियार,,ह्थियार,
संबल,,संबल,
तारकमध्य,,तारकमध्य,
जुझारू,,जुझारू,
ब्रांडी,,ब्रांडी,
फ़नकार,,फ़नकार,
इक्ट्ठा,,इक्ट्ठा,
कामदानी,,कामदानी,
कांता,,कांता,
पुडिंग,,पुडिंग,
घेंघ,,घेंघ,
पिठर,,पिठर,
चिड़चिड़ेपन,,चिड़चिड़े,पन
सविन्य,,सविन्य,
गरजता,,गरज,ता
तुम्हरा,,तुम्हरा,
१८०,,१८०,
कजरारी,,कजरारी,
शाखा,,शाख,ा
ख़ीज,,ख़ीज,
पच,,पच,
सराहें,,सराह,ें
नरेंद्र,,नरेंद्र,
रज्जुमार्ग,,रज्जुमार्ग,
कादंबिनी,,कादंबिनी,
थोक,,थोक,
सामाग्री,,सामाग्री,
घोल,,घोल,
मिस्री,,मिस्री,
भण्डार,,भण्डार,
मूर्ती,,मूर्ती,
लिहाज,,लिहाज,
युग्मनज,,युग्मनज,
अविज्ञात,,अविज्ञात,
अविलम्ब,अ,विलम्ब,
कोराशान,,कोराशान,
युगान्तरकारी,,युगान्तर,कारी
भुइंडोल,,भुइंडोल,
गोल्ड,,गोल्ड,
ठोककर,,ठोक,कर
तेजामय,,तेजामय,
मूषक,,मूषक,
उजाड़ा,,उजाड़,ा
ओडोरैटिसिमा,,ओडोरैटिसिमा,
यपलेत,,यपलेत,
डायरेक्शन,,डायरेक्शन,
टहलना,,टहल,ना
घुलते,,घुल,ते
नेबू,,नेबू,
सारपत,,सारपत,
उनसठ,,उनसठ,
नफ़रत,,नफ़रत,
बलबूते,,बलबूते,
नामवाद,,नामवाद,
दोर,,दोर,
किंशनगंज,,किंशनगंज,
ब्रह्मदूत,,ब्रह्मदूत,
केलाइडोस्कोप,,केलाइडोस्कोप,
एकमेल,,एकमेल,
ऊर्जा,,ऊर्जा,
बंशी,,बंशी,
बढ़ावा,,बढ़ावा,
डंगर,,डंगर,
प्रवेशार्थी,,प्रवेशार्थी,
मंट्री,,मंट्री,
अंगूरों,,अंगूर,ों
बढ़ना,,बढ़,ना
अहंकारी,,अहंकार,ी
गड्ढा,,गड्ढा,
प्रलय,,प्रलय,
पहली,,पहल,ी
पेन्सिल,,पेन्सिल,
धड़कन,,धड़कन,
घराने,,घराने,
पाठ्यमाध्यम,,पाठ्यमाध्यम,
लकीरी,,लकीर,ी
अप्सरा,,अप्सरा,
वृतांत,,वृतांत,
शैख,,शैख,
बेबीग्रो,,बेबीग्रो,
अंतःसर्पी,अंतः,सर्पी,
सिध्दांत,,सिध्दांत,
आंखें,,आंख,ें
कुण्डल,,कुण्डल,
निज़,,निज़,
शक्तिहीन,,शक्ति,हीन
खतनारहित,,खतना,रहित
फ़्रेन्ड्ज़,,फ़्रेन्ड्ज़,
पहुंच,,पहुंच,
छेड़ा,,छेड़ा,
भेदक,,भेदक,
बेन्हूर,,बेन्हूर,
मसखाली,,मसखाली,
तपश्चर्या,,तपश्चर्या,
ख़तरनाक,,ख़तरनाक,
मथता,,मथता,
संचलन,,संचलन,
मोसंबी,,मोसंबी,
प्राचार्य,,प्राचार्य,
कवात्सल्य,,कवात्सल्य,
राज,,राज,
